pref_name,first_approval,dosed_ingredient,oral,parenteral,topical,first_in_class,smiles
BUTABARBITAL SODIUM,1939,1,1,0,0,0,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
DESOXYCORTICOSTERONE ACETATE,1939,1,0,1,0,0,CC(=O)OCC(=O)C1CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
HISTAMINE PHOSPHATE,1939,1,0,1,0,0,NCCc1c[nH]cn1
SULFAPYRIDINE,1939,1,1,0,0,0,Nc1ccc(S(=O)(=O)Nc2ccccn2)cc1
THEOPHYLLINE,1940,1,1,1,1,0,Cn1c(=O)c2[nH]cnc2n(C)c1=O
ERGOCALCIFEROL,1941,1,1,1,0,0,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)/C=C/[C@H](C)C(C)C)CC[C@@H]12
SULFADIAZINE,1941,1,1,1,1,0,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
MEPERIDINE HYDROCHLORIDE,1942,1,1,1,0,0,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
HYDROCODONE BITARTRATE,1943,1,1,0,0,0,COc1ccc2c3c1OC1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314
METHAMPHETAMINE HYDROCHLORIDE,1943,1,1,0,0,0,CN[C@@H](C)Cc1ccccc1
HOMATROPINE METHYLBROMIDE,1943,1,1,0,0,0,C[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(O)c1ccccc1)C2
DICUMAROL,1944,1,1,0,0,0,O=c1c(Cc2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12
TUBOCURARINE,1945,0,0,1,0,0,COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C
NITROFURAZONE,1945,1,0,0,1,0,NC(=O)N/N=C/c1ccc([N+](=O)[O-])o1
SULFATHIAZOLE,1945,1,0,0,1,0,Nc1ccc(S(=O)(=O)Nc2nccs2)cc1
SULFABENZAMIDE,1945,1,0,0,1,0,Nc1ccc(S(=O)(=O)NC(=O)c2ccccc2)cc1
SULFACETAMIDE,1945,1,0,0,1,0,CC(=O)NS(=O)(=O)c1ccc(N)cc1
DIHYDROERGOTAMINE,1946,0,0,1,1,0,CN1CC(C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
METHYLERGONOVINE MALEATE,1946,1,1,1,0,0,CC[C@@H](CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
STREPTOMYCIN,1946,1,0,1,0,0,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@H](N=C(N)N)[C@@H](O)[C@@H]3N=C(N)N)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O
MEPHENYTOIN,1946,1,1,0,0,0,CCC1(c2ccccc2)NC(=O)N(C)C1=O
TRIMETHADIONE,1946,1,1,0,0,0,CN1C(=O)OC(C)(C)C1=O
DIPHENHYDRAMINE,1946,0,1,1,0,0,CN(C)CCOC(c1ccccc1)c1ccccc1
BENZYLPENICILLIN,1947,1,1,1,0,0,CC1(C)S[C@@H]2C(NC(=O)Cc3ccccc3)C(=O)N2C1C(=O)O
PROPYLTHIOURACIL,1947,1,1,0,0,0,CCCc1cc(=O)[nH]c(=S)[nH]1
DIENESTROL,1947,1,0,0,1,0,CC=C(C(=CC)c1ccc(O)cc1)c1ccc(O)cc1
METHADONE,1947,0,1,1,0,0,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
TRIPELENNAMINE HYDROCHLORIDE,1948,1,1,0,0,0,CN(C)CCN(Cc1ccccc1)c1ccccn1
ERGOTAMINE,1948,0,1,0,1,0,CN1CC(C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21
DOXYLAMINE SUCCINATE,1948,1,1,0,0,0,CN(C)CCOC(C)(c1ccccc1)c1ccccn1
LIDOCAINE HYDROCHLORIDE,1948,1,1,1,1,0,CCN(CC)CC(=O)Nc1c(C)cccc1C
CAFFEINE,1948,1,1,1,1,0,Cn1c(=O)c2c(ncn2C)n(C)c1=O
TRIHEXYPHENIDYL HYDROCHLORIDE,1949,1,1,0,0,0,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1
PARAMETHADIONE,1949,1,1,0,0,0,CCC1(C)OC(=O)N(C)C1=O
CROTAMITON,1949,1,0,0,1,0,C/C=C/C(=O)N(CC)c1ccccc1C
HEXACHLOROPHENE,1949,1,0,0,1,0,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
CHLOROQUINE PHOSPHATE,1949,1,1,0,0,0,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
SULFAMETHAZINE,1949,1,1,0,0,0,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1
CHLORPHENIRAMINE,1950,0,1,1,0,0,CN(C)CCC(c1ccc(Cl)cc1)c1ccccn1
SULFASALAZINE,1950,1,1,0,0,0,O=C(O)c1cc(N=Nc2ccc(S(=O)(=O)Nc3ccccn3)cc2)ccc1O
NOREPINEPHRINE BITARTRATE,1950,1,0,1,0,0,NC[C@H](O)c1ccc(O)c(O)c1
DIETHYLCARBAMAZINE,1950,0,1,0,0,0,CCN(CC)C(=O)N1CCN(C)CC1
AMINOSALICYLIC ACID,1950,1,1,0,0,0,Nc1ccc(C(=O)O)c(O)c1
CORTISONE ACETATE,1950,1,1,1,0,0,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)C3C(=O)C[C@@]21C
METHIMAZOLE,1950,1,1,0,0,0,Cn1cc[nH]c1=S
ASPIRIN,1950,1,1,0,0,0,CC(=O)Oc1ccccc1C(=O)O
