id,smiles
1470,NC(=O)CC(NC(=O)c1ccccc1Br)C(=O)O
2399,CC(C)(C)NCCCNC(=O)c1cccc(I)c1
2398,CC(C)(C)NCCCNC(=O)c1cccc(Br)c1
1886,CNC(=O)C1CC(O)CN1C(C)=O
1460,NC(=O)CC(NC(=O)c1c(Cl)cccc1Cl)C(=O)O
1658,COCCCNC(=O)Nc1sccc1C(=O)O
1659,CCCCN(CC)C(=O)Nc1sccc1C(=O)O
2022,NC(=O)Nc1ccccc1
1337,CC(C)CNC(=O)C1CCCN1C(=O)C(NC(=O)C(C)N)C(C)C
2400,CC(C)c1cccc(C(=O)NCCCNC(C)(C)C)c1
775,CCC(CC)CNC(=O)C1CCCN1C(=O)C(NC(=O)C(C)N)C(C)C
2316,CNCC(=O)Nc1nccs1
2315,NCC(=O)Nc1ccc(N)cc1
2314,NCC(=O)Nc1nccs1
2313,NCC(=O)Nc1ccc(O)cc1
1995,CC(C)CC(NC(=O)C(O)C(N)Cc1ccccc1)C(=O)O
2310,Cc1ccc(C(N)=O)c(N)c1
1883,CNC(=O)c1cc(Br)c[nH]1
1999,CCC=CCC1C(=O)CCC1CC(=O)NC(C(=O)O)C(C)CC
1990,Oc1c(I)cc(I)cc1I
2401,CC(C)(C)NCCCNC(=O)c1cccc(C(F)(F)F)c1
1998,CCC=CCC1C(=O)CCC1CC(=O)NC(C(=O)O)C(C)CC
2403,NC(=O)N(CCC(=O)O)c1ccccc1
1483,NC(=O)CC(NC(=O)c1c(F)cccc1F)C(=O)O
1784,COC(=O)c1ccc(N)cc1Cl
2410,CC(C)(C)CCC(NC(=O)c1cc(Cl)c[nH]1)C(=O)O
2409,CC(C)(C)CCC(NC(=O)c1cc(Cl)cc(Cl)c1)C(=O)O
1507,NC(=O)CC(NC(=O)c1c(F)cccc1Cl)C(=O)O
1690,CCNc1nc(NCC)nc(C(=O)NN)n1
539,CCC(C)C(NC(=O)C1CCCN1C(=O)C(NC(=O)C(C)N)C(C)C)C(N)=O
1651,CCOc1cc(CNCCO)cc(Br)c1OCc1ccc(Cl)cc1Cl
1993,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
1970,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
1992,Nc1cccc2c(S(=O)(=O)O)cccc12
1657,CCN(Cc1ccccc1)C(=O)Nc1sccc1C(=O)O
1971,O=Cc1ccc(Oc2ccc(Cl)cc2Cl)c(O)c1
1936,Oc1c(Cl)cc(-c2cc(Cl)c(O)c(Cl)c2)cc1Cl
1935,O=C(O)c1cc(-c2ccc(Cl)cc2Cl)ccc1O
1653,COc1cc(CNCCO)cc(Cl)c1OCc1ccc(Cl)cc1Cl
1944,Cc1ccnc(NC(=O)C2CCNCC2)c1
1983,CN1C(=O)C(=O)c2ccccc21
1982,NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O
1981,O=C(Nc1nnc[nH]1)c1c(Cl)ccc(Cl)c1Cl
1980,Oc1ccccc1-c1nnc(S)o1
1979,O=C(O)c1ccc(Oc2ccccc2)c(O)c1
1978,COc1cc(C=O)ccc1Oc1ccccc1
1977,COc1cc(CCl)ccc1Oc1ccccc1
1972,Oc1cc(CCl)ccc1Oc1ccc(Cl)cc1Cl
1973,OCc1ccc(Oc2ccc(Cl)cc2Cl)c(O)c1
1974,COc1cc(CCl)ccc1Oc1ccc(Cl)cc1Cl
1975,COc1cc(C(=O)O)ccc1Oc1ccc(Cl)cc1Cl
1976,O=C(O)c1ccc(Oc2ccc(Cl)cc2Cl)c(O)c1
219,CC(N)C(=O)NC(C(=O)N1CCCC1C(=O)NCC1CCCCC1)C(C)C
1924,Oc1ccc(-c2c(Cl)cc(Cl)cc2Cl)cc1
1628,Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NCCCO
1630,Cc1ccc(-c2c(C)noc2C)cc1S(N)(=O)=O
2129,Cc1noc(N)c1-c1cccc(C(F)(F)F)c1
2107,CCC1NC(=O)C(CCCNC(=N)NC)NC(=O)C(C)(NC(=O)C(C)C)CCNC(=O)C(c2ccccc2)NC1=O
2106,CCC1NC(=O)C(CCCNC(=N)NC)NC(=O)C(C)(NC(=O)C(C)C)CCNC(=O)C(c2ccccc2)NC1=O
2104,CCC1NC(=O)C(CCCNC(=N)N)NC(=O)C(C)(NC(=O)C(C)C)CCCCCCNC(=O)C(c2ccccc2)NC1=O
1713,O=C(Nc1ccccc1)c1nc[nH]c1C(=O)O
2102,CCC1NC(=O)C(CCCNC(=N)N)NC(=O)C(C)(NC(=O)C(C)C)CCCNC(=O)C(c2ccccc2)NC1=O
2101,CCC1NC(=O)C(CCCNC(=N)N)NC(=O)C(C)(NC(=O)C(C)C)CCNC(=O)C(c2ccccc2)NC1=O
2100,CCC1NC(=O)C(CCCNC(=N)N)NC(=O)C(NC(=O)C(C)C)CCCCNC(=O)C(c2ccccc2)NC1=O
2099,CCC1NC(=O)C(CCCNC(=N)N)NC(=O)C(NC(=O)C(C)C)CCCNC(=O)C(c2ccccc2)NC1=O
2098,CCC1NC(=O)C(CCCNC(=N)N)NC(=O)C(NC(=O)C(C)C)CCNC(=O)C(c2ccccc2)NC1=O
2097,CCC1NC(=O)C(CCCNC(=N)N)NC(=O)C(NC(=O)C(C)C)CNC(=O)C(c2ccccc2)NC1=O
2096,CCC1NC(=O)C(CCCNC(=N)N)NC(=O)C(C)(NC(=O)C(C)C)CCCCNC(=O)C(c2ccccc2)NC1=O
179,O=C(NC(Cc1c[nH]cn1)C(=O)O)c1c(Cl)cccc1Cl
2095,CCC1NC(=O)C(CCCNC(=NC)NC)NC(=O)C(C)(NC(=O)C(C)C)CCCCNC(=O)C(c2ccccc2)NC1=O
2094,CCC1NC(=O)C(CCCNC(=N)NC)NC(=O)C(C)(NC(=O)C(C)C)CCCCNC(=O)C(c2ccccc2)NC1=O
2093,CCC1NC(=O)C(CCCNC(=N)N)NC(=O)C(C)(NC(=O)C(C)C)CCCCN(C)C(=O)C(c2ccc(Cl)cc2)NC1=O
2092,CCC1NC(=O)C(CCCNC(=N)N)NC(=O)C(C)(NC(=O)C(C)C)CCCCN(C)C(=O)C(c2ccc(F)cc2)NC1=O
2091,CCC1NC(=O)C(CCCNC(=N)N)NC(=O)C(C)(NC(=O)C(C)C)CCCCN(C)C(=O)C(c2ccccc2)NC1=O
2090,CCC1NC(=O)C(CCCNC(=N)N)NC(=O)C(C)(NC(=O)C(C)C)CCCCNC(=O)C(c2ccccc2)NC1=O
2048,CC(=O)N1c2ccccc2N(C(=O)CC(C)C)CC1C
2023,O=C1Nc2c(ccc(Cl)c2Cl)C1=NO
2021,CCn1c(=O)[nH]c2ccccc21
1627,COCCNS(=O)(=O)c1cc(-c2c(C)noc2C)ccc1C
1934,O=C(O)c1cccc(-c2c(F)cccc2F)c1
1629,Cc1ccc(-c2c(C)noc2C)cc1S(=O)(=O)NC(C)(C)C
1631,CCNS(=O)(=O)c1cc(-c2c(C)noc2C)ccc1C
1933,O=C(O)c1ccc(-c2cc(F)cc(F)c2)cc1
1920,Clc1cc(Cl)cc(-c2cc(Cl)cc(Cl)c2)c1
1929,Oc1c(-c2cc(Cl)c(Cl)c(Cl)c2)cc(Cl)c(Cl)c1Cl
1670,O=C(C=Cc1cccc(O)c1O)c1c(O)cc(O)cc1O
1680,O=C(C=Cc1ccc(O)c(O)c1)OC(Cc1ccc(O)c(O)c1)C(=O)O
1681,O=C(NN=Cc1ccc(O)cc1O)c1ccncc1
1682,O=C(NN=Cc1cc(Br)ccc1O)c1cccnc1
1847,Cc1[nH]c(-c2ccccc2N)cc1C(N)=O
1683,COc1cc(Br)cc(C=NNC(=O)c2ccccn2)c1O
1684,O=C(NN=Cc1ccccc1O)c1cnccn1
1819,CCOc1cc(-c2c(C)noc2C)cc(C(C)O)c1
1818,CCOc1cc(C(C)=O)cc(-c2c(C)noc2C)c1
1817,CCOc1cc(C(=O)O)cc(-c2c(C)noc2C)c1
1816,CCOC(=O)c1cc(OCC)cc(-c2c(C)noc2C)c1
312,CCC(N)C(=O)NC(C(=O)N1CCCC1C(=O)NCc1ccccc1)C(C)C
1815,Cc1noc(C)c1-c1cccc(C(C)O)c1
1669,O=C(C=Cc1cc(F)cc(F)c1)c1ccc(O)cc1O
1814,CCOc1cccc(-c2c(C)noc2C)c1
1812,Cc1noc(C)c1-c1ccccc1
320,CC(=C1SC(=S)N(C(CC(C)C)C(=O)O)C1=O)c1ccccc1
1786,Nc1cc(-n2cnnc2)ccc1F
1785,Brc1cn[nH]c1-c1ccccc1
1783,NC(=O)c1ccc2nc(N)sc2c1
1691,CCNc1nc(NCC)nc(C(=O)Nc2ccccc2)n1
1693,COCCN1C(=O)C(=CNNC(=O)c2cc(Cl)ccc2O)C(=O)NC1=S
1702,CN(C)c1ccc(N=Nc2ccc(Cl)cc2)cc1
1719,NNC(=O)c1[nH]cnc1C(=O)Nc1ccccn1
1718,Cc1ccc(NC(=O)c2nc[nH]c2C(=O)NN)cc1
1717,Nc1ccc(NC(=O)c2nc[nH]c2C(=O)O)cc1
1715,O=C(Nc1ccccn1)c1nc[nH]c1C(=O)O
1714,O=C(Nc1ccc(F)cc1)c1nc[nH]c1C(=O)O
1813,CC(=O)c1cccc(-c2c(C)noc2C)c1
1668,O=C(C=Cc1ccccc1Cl)c1ccc(O)cc1O
1667,O=C(C=Cc1cc(O)ccc1O)c1ccc(O)cc1O
1666,O=C(C=Cc1cccc(O)c1O)c1ccc(O)cc1O
1928,Oc1c(Cl)cc(-c2cc(Cl)c(O)c(Cl)c2)cc1Cl
1927,Oc1ccc(-c2c(Cl)c(Cl)c(O)c(Cl)c2Cl)cc1
1926,Oc1ccc(-c2cc(Cl)c(Cl)c(Cl)c2Cl)cc1
1925,Oc1c(Cl)cc(-c2ccc(Cl)cc2)cc1Cl
535,Cc1cccc(C)c1C(=O)NC(Cc1c[nH]cn1)C(=O)O
1923,Oc1c(Cl)cc(Cl)cc1-c1ccccc1
1922,Oc1c(Cl)cc(-c2ccccc2)cc1Cl
1921,Clc1cc(-c2cc(Cl)c(Cl)c(Cl)c2)cc(Cl)c1Cl
163,O=C(NC(Cc1c[nH]cn1)C(=O)O)c1ccccc1Br
1919,Clc1cccc(Cl)c1-c1c(Cl)cccc1Cl
1918,c1ccc(-c2ccccc2)cc1
1917,O=C(O)c1cc(I)c(-c2cc(I)c(O)c(I)c2)c(I)c1
